Date,GOLD
2000-08-28,277.0
2000-09-04,273.29998779296875
2000-09-11,272.29998779296875
2000-09-18,271.79998779296875
2000-09-25,273.6000061035156
2000-10-02,269.29998779296875
2000-10-09,272.3999938964844
2000-10-16,271.20001220703125
2000-10-23,264.3999938964844
2000-10-30,264.6000061035156
2000-11-06,264.5
2000-11-13,265.70001220703125
2000-11-20,266.29998779296875
2000-11-27,268.70001220703125
2000-12-04,272.20001220703125
2000-12-11,270.3999938964844
2000-12-18,273.70001220703125
2000-12-25,272.0
2001-01-01,268.0
2001-01-08,263.8999938964844
2001-01-15,264.29998779296875
2001-01-22,262.79998779296875
2001-01-29,267.1000061035156
2001-02-05,259.8999938964844
2001-02-12,258.20001220703125
2001-02-19,260.8999938964844
2001-02-26,262.1000061035156
2001-03-05,270.79998779296875
2001-03-12,258.1000061035156
2001-03-19,261.5
2001-03-26,257.8999938964844
2001-04-02,260.0
2001-04-09,260.1000061035156
2001-04-16,264.79998779296875
2001-04-23,263.8999938964844
2001-04-30,266.1000061035156
2001-05-07,267.8999938964844
2001-05-14,287.3999938964844
2001-05-21,277.8999938964844
2001-05-28,266.3999938964844
2001-06-04,273.3999938964844
2001-06-11,271.20001220703125
2001-06-18,272.29998779296875
2001-06-25,270.6000061035156
2001-07-02,265.8999938964844
2001-07-09,267.1000061035156
2001-07-16,269.8999938964844
2001-07-23,267.3999938964844
2001-07-30,267.8999938964844
2001-08-06,273.8999938964844
2001-08-13,279.29998779296875
2001-08-20,272.5
2001-08-27,274.3999938964844
2001-09-03,273.1000061035156
2001-09-10,290.20001220703125
2001-09-17,291.8999938964844
2001-09-24,292.3999938964844
2001-10-01,291.3999938964844
2001-10-08,284.8999938964844
2001-10-15,280.1000061035156
2001-10-22,277.8999938964844
2001-10-29,279.79998779296875
2001-11-05,277.3999938964844
2001-11-12,274.70001220703125
2001-11-19,272.8999938964844
2001-11-26,273.8999938964844
2001-12-03,273.8999938964844
2001-12-10,278.0
2001-12-17,278.0
2001-12-24,276.5
2001-12-31,278.8999938964844
2002-01-07,287.3999938964844
2002-01-14,283.1000061035156
2002-01-21,278.79998779296875
2002-01-28,286.0
2002-02-04,303.5
2002-02-11,298.3999938964844
2002-02-18,293.20001220703125
2002-02-25,298.0
2002-03-04,290.1000061035156
2002-03-11,289.8999938964844
2002-03-18,297.29998779296875
2002-03-25,302.6000061035156
2002-04-01,300.1000061035156
2002-04-08,302.1000061035156
2002-04-15,302.29998779296875
2002-04-22,311.6000061035156
2002-04-29,312.20001220703125
2002-05-06,311.0
2002-05-13,310.6000061035156
2002-05-20,320.3999938964844
2002-05-27,326.5
2002-06-03,324.6000061035156
2002-06-10,319.1000061035156
2002-06-17,324.6000061035156
2002-06-24,313.5
2002-07-01,310.8999938964844
2002-07-08,315.6000061035156
2002-07-15,323.8999938964844
2002-07-22,303.3999938964844
2002-07-29,307.0
2002-08-05,314.20001220703125
2002-08-12,313.70001220703125
2002-08-19,306.70001220703125
2002-08-26,312.3999938964844
2002-09-02,319.8999938964844
2002-09-09,316.6000061035156
2002-09-16,321.8999938964844
2002-09-23,319.70001220703125
2002-09-30,322.1000061035156
2002-10-07,316.29998779296875
2002-10-14,312.70001220703125
2002-10-21,313.3999938964844
2002-10-28,318.79998779296875
2002-11-04,321.29998779296875
2002-11-11,320.70001220703125
2002-11-18,320.70001220703125
2002-11-25,316.79998779296875
2002-12-02,326.29998779296875
2002-12-09,333.20001220703125
2002-12-16,340.5
2002-12-23,349.20001220703125
2002-12-30,351.20001220703125
2003-01-06,354.5
2003-01-13,356.6000061035156
2003-01-20,368.20001220703125
2003-01-27,368.29998779296875
2003-02-03,369.8999938964844
2003-02-10,351.8999938964844
2003-02-17,351.79998779296875
2003-02-24,350.20001220703125
2003-03-03,350.79998779296875
2003-03-10,336.5
2003-03-17,326.0
2003-03-24,328.70001220703125
2003-03-31,325.29998779296875
2003-04-07,327.8999938964844
2003-04-14,327.20001220703125
2003-04-21,333.3999938964844
2003-04-28,341.0
2003-05-05,348.6000061035156
2003-05-12,354.70001220703125
2003-05-19,368.79998779296875
2003-05-26,364.5
2003-06-02,363.70001220703125
2003-06-09,356.6000061035156
2003-06-16,356.29998779296875
2003-06-23,345.20001220703125
2003-06-30,351.0
2003-07-07,344.79998779296875
2003-07-14,347.20001220703125
2003-07-21,362.70001220703125
2003-07-28,346.1000061035156
2003-08-04,356.29998779296875
2003-08-11,363.20001220703125
2003-08-18,363.1000061035156
2003-08-25,375.70001220703125
2003-09-01,377.6000061035156
2003-09-08,375.79998779296875
2003-09-15,381.79998779296875
2003-09-22,380.79998779296875
2003-09-29,369.3999938964844
2003-10-06,373.6000061035156
2003-10-13,371.79998779296875
2003-10-20,388.8999938964844
2003-10-27,384.5
2003-11-03,383.29998779296875
2003-11-10,397.79998779296875
2003-11-17,396.0
2003-11-24,396.79998779296875
2003-12-01,406.3999938964844
2003-12-08,409.3999938964844
2003-12-15,409.20001220703125
2003-12-22,412.29998779296875
2003-12-29,415.70001220703125
2004-01-05,426.3999938964844
2004-01-12,406.70001220703125
2004-01-19,407.8999938964844
2004-01-26,402.20001220703125
2004-02-02,403.6000061035156
2004-02-09,410.29998779296875
2004-02-16,397.5
2004-02-23,396.3999938964844
2004-03-01,401.29998779296875
2004-03-08,395.29998779296875
2004-03-15,412.5
2004-03-22,422.1000061035156
2004-03-29,421.6000061035156
2004-04-05,419.8999938964844
2004-04-12,401.0
2004-04-19,395.1000061035156
2004-04-26,387.0
2004-05-03,378.70001220703125
2004-05-10,377.0
2004-05-17,384.79998779296875
2004-05-24,394.0
2004-05-31,390.8999938964844
