DATE,DGORDER,ADXTNO,ADXDNO,A34SNO,A35SNO,A33SNO,A32SNO,A31SNO,A36SNO,A37SNO
2000-01-01,201360.0,,,,,,,,,
2000-02-01,183911.0,,,,,,,,,
2000-03-01,192130.0,,,,,,,,,
2000-04-01,195044.0,,,,,,,,,
2000-05-01,188606.0,,,,,,,,,
2000-06-01,219745.0,,,,,,,,,
2000-07-01,189265.0,,,,,,,,,
2000-08-01,188730.0,,,,,,,,,
2000-09-01,199947.0,,,,,,,,,
2000-10-01,186158.0,,,,,,,,,
2000-11-01,189392.0,,,,,,,,,
2000-12-01,188659.0,,,,,,,,,
2001-01-01,177056.0,,,,,,,,,
2001-02-01,180276.0,,,,,,,,,
2001-03-01,182209.0,,,,,,,,,
2001-04-01,171850.0,,,,,,,,,
2001-05-01,177749.0,,,,,,,,,
2001-06-01,176350.0,,,,,,,,,
2001-07-01,170129.0,,,,,,,,,
2001-08-01,170484.0,,,,,,,,,
2001-09-01,164123.0,,,,,,,,,
2001-10-01,171530.0,,,,,,,,,
2001-11-01,163811.0,,,,,,,,,
2001-12-01,165304.0,,,,,,,,,
2002-01-01,163324.0,,,,,,,,,
2002-02-01,172406.0,,,,,,,,,
2002-03-01,167853.0,,,,,,,,,
2002-04-01,171852.0,,,,,,,,,
2002-05-01,171854.0,,,,,,,,,
2002-06-01,166070.0,,,,,,,,,
2002-07-01,174282.0,,,,,,,,,
2002-08-01,177126.0,,,,,,,,,
2002-09-01,166838.0,,,,,,,,,
2002-10-01,169134.0,,,,,,,,,
2002-11-01,170023.0,,,,,,,,,
2002-12-01,163962.0,,,,,,,,,
2003-01-01,169994.0,,,,,,,,,
2003-02-01,174113.0,,,,,,,,,
2003-03-01,172245.0,,,,,,,,,
2003-04-01,169347.0,,,,,,,,,
2003-05-01,171542.0,,,,,,,,,
2003-06-01,173507.0,,,,,,,,,
2003-07-01,173320.0,,,,,,,,,
2003-08-01,173044.0,,,,,,,,,
2003-09-01,178690.0,,,,,,,,,
2003-10-01,183704.0,,,,,,,,,
2003-11-01,181685.0,,,,,,,,,
2003-12-01,181513.0,,,,,,,,,
2004-01-01,178696.0,,,,,,,,,
2004-02-01,181662.0,,,,,,,,,
2004-03-01,190869.0,,,,,,,,,
2004-04-01,184368.0,,,,,,,,,
2004-05-01,183459.0,,,,,,,,,
2004-06-01,185640.0,,,,,,,,,
2004-07-01,186835.0,,,,,,,,,
2004-08-01,183728.0,,,,,,,,,
2004-09-01,188444.0,,,,,,,,,
2004-10-01,185187.0,,,,,,,,,
2004-11-01,192545.0,,,,,,,,,
2004-12-01,193578.0,,,,,,,,,
2005-01-01,194875.0,,,,,,,,,
2005-02-01,196475.0,,,,,,,,,
2005-03-01,186608.0,,,,,,,,,
2005-04-01,194847.0,,,,,,,,,
2005-05-01,206623.0,,,,,,,,,
2005-06-01,210020.0,,,,,,,,,
2005-07-01,194475.0,,,,,,,,,
2005-08-01,204839.0,,,,,,,,,
2005-09-01,203997.0,,,,,,,,,
2005-10-01,209901.0,,,,,,,,,
2005-11-01,220733.0,,,,,,,,,
2005-12-01,221499.0,,,,,,,,,
2006-01-01,209540.0,,,,,,,,,
2006-02-01,219738.0,,,,,,,,,
2006-03-01,227188.0,,,,,,,,,
2006-04-01,214625.0,,,,,,,,,
2006-05-01,215819.0,,,,,,,,,
2006-06-01,221220.0,,,,,,,,,
2006-07-01,209494.0,,,,,,,,,
2006-08-01,210473.0,,,,,,,,,
2006-09-01,234701.0,,,,,,,,,
2006-10-01,216952.0,,,,,,,,,
2006-11-01,224809.0,,,,,,,,,
2006-12-01,229243.0,,,,,,,,,
2007-01-01,222969.0,,,,,,,,,
2007-02-01,220962.0,,,,,,,,,
2007-03-01,229526.0,,,,,,,,,
2007-04-01,233420.0,,,,,,,,,
2007-05-01,228836.0,,,,,,,,,
2007-06-01,228868.0,,,,,,,,,
2007-07-01,233176.0,,,,,,,,,
2007-08-01,235758.0,,,,,,,,,
2007-09-01,226473.0,,,,,,,,,
2007-10-01,230700.0,,,,,,,,,
2007-11-01,227005.0,,,,,,,,,
2007-12-01,244443.0,,,,,,,,,
2008-01-01,239389.0,,,,,,,,,
2008-02-01,235037.0,,,,,,,,,
2008-03-01,234868.0,,,,,,,,,
2008-04-01,231086.0,,,,,,,,,
2008-05-01,227370.0,,,,,,,,,
2008-06-01,229262.0,,,,,,,,,
2008-07-01,220411.0,,,,,,,,,
2008-08-01,214106.0,,,,,,,,,
2008-09-01,215245.0,,,,,,,,,
2008-10-01,191912.0,,,,,,,,,
2008-11-01,181552.0,,,,,,,,,
2008-12-01,173849.0,,,,,,,,,
2009-01-01,151085.0,,,,,,,,,
2009-02-01,148834.0,,,,,,,,,
2009-03-01,146323.0,,,,,,,,,
2009-04-01,147467.0,,,,,,,,,
2009-05-01,149255.0,,,,,,,,,
2009-06-01,147033.0,,,,,,,,,
2009-07-01,153691.0,,,,,,,,,
2009-08-01,157489.0,,,,,,,,,
2009-09-01,158041.0,,,,,,,,,
2009-10-01,161097.0,,,,,,,,,
2009-11-01,160419.0,,,,,,,,,
2009-12-01,160520.0,,,,,,,,,
2010-01-01,181016.0,,,,,,,,,
2010-02-01,180450.0,,,,,,,,,
2010-03-01,182148.0,,,,,,,,,
2010-04-01,182948.0,,,,,,,,,
2010-05-01,189932.0,,,,,,,,,
2010-06-01,185667.0,,,,,,,,,
2010-07-01,187506.0,,,,,,,,,
2010-08-01,191745.0,,,,,,,,,
2010-09-01,201932.0,,,,,,,,,
2010-10-01,193066.0,,,,,,,,,
2010-11-01,197202.0,,,,,,,,,
2010-12-01,193452.0,,,,,,,,,
2011-01-01,203636.0,,,,,,,,,
2011-02-01,196393.0,,,,,,,,,
2011-03-01,212748.0,,,,,,,,,
2011-04-01,200733.0,,,,,,,,,
2011-05-01,207170.0,,,,,,,,,
2011-06-01,201579.0,,,,,,,,,
2011-07-01,206458.0,,,,,,,,,
2011-08-01,216705.0,,,,,,,,,
2011-09-01,204738.0,,,,,,,,,
2011-10-01,210799.0,,,,,,,,,
2011-11-01,215531.0,,,,,,,,,
2011-12-01,223835.0,,,,,,,,,
2012-01-01,225940.0,,,,,,,,,
2012-02-01,226911.0,,,,,,,,,
2012-03-01,221801.0,,,,,,,,,
2012-04-01,218681.0,,,,,,,,,
2012-05-01,219765.0,,,,,,,,,
2012-06-01,217652.0,,,,,,,,,
2012-07-01,222748.0,,,,,,,,,
2012-08-01,199963.0,,,,,,,,,
2012-09-01,217090.0,,,,,,,,,
2012-10-01,218522.0,,,,,,,,,
2012-11-01,217446.0,,,,,,,,,
2012-12-01,230814.0,,,,,,,,,
2013-01-01,223067.0,,,,,,,,,
2013-02-01,234600.0,,,,,,,,,
2013-03-01,217165.0,,,,,,,,,
2013-04-01,226738.0,,,,,,,,,
2013-05-01,236717.0,,,,,,,,,
2013-06-01,247187.0,,,,,,,,,
2013-07-01,220366.0,,,,,,,,,
2013-08-01,224700.0,,,,,,,,,
2013-09-01,237681.0,,,,,,,,,
2013-10-01,232113.0,,,,,,,,,
2013-11-01,243262.0,,,,,,,,,
2013-12-01,237972.0,,,,,,,,,
2014-01-01,224410.0,,,,,,,,,
2014-02-01,231734.0,,,,,,,,,
2014-03-01,235757.0,,,,,,,,,
2014-04-01,237607.0,,,,,,,,,
2014-05-01,234339.0,,,,,,,,,
2014-06-01,238210.0,,,,,,,,,
2014-07-01,299869.0,,,,,,,,,
2014-08-01,236049.0,,,,,,,,,
2014-09-01,236278.0,,,,,,,,,
2014-10-01,233042.0,,,,,,,,,
2014-11-01,227299.0,,,,,,,,,
2014-12-01,225089.0,,,,,,,,,
2015-01-01,226500.0,,,,,,,,,
2015-02-01,217853.0,,,,,,,,,
2015-03-01,229820.0,,,,,,,,,
2015-04-01,226217.0,,,,,,,,,
2015-05-01,217855.0,,,,,,,,,
2015-06-01,229732.0,,,,,,,,,
2015-07-01,227727.0,,,,,,,,,
2015-08-01,222828.0,,,,,,,,,
2015-09-01,217818.0,,,,,,,,,
2015-10-01,226413.0,,,,,,,,,
2015-11-01,222400.0,,,,,,,,,
2015-12-01,218027.0,,,,,,,,,
2016-01-01,229203.0,,,,,,,,,
2016-02-01,217223.0,,,,,,,,,
2016-03-01,218868.0,,,,,,,,,
2016-04-01,230281.0,,,,,,,,,
2016-05-01,222761.0,,,,,,,,,
2016-06-01,207430.0,,,,,,,,,
2016-07-01,215715.0,,,,,,,,,
2016-08-01,218051.0,,,,,,,,,
2016-09-01,216921.0,,,,,,,,,
2016-10-01,233645.0,,,,,,,,,
2016-11-01,215307.0,,,,,,,,,
2016-12-01,219170.0,,,,,,,,,
2017-01-01,219738.0,,,,,,,,,
2017-02-01,221923.0,,,,,,,,,
2017-03-01,223132.0,,,,,,,,,
2017-04-01,225070.0,,,,,,,,,
2017-05-01,222436.0,,,,,,,,,
2017-06-01,236645.0,,,,,,,,,
2017-07-01,217820.0,,,,,,,,,
2017-08-01,222295.0,,,,,,,,,
2017-09-01,228172.0,,,,,,,,,
2017-10-01,228049.0,,,,,,,,,
2017-11-01,229799.0,,,,,,,,,
2017-12-01,240218.0,,,,,,,,,
2018-01-01,227080.0,,,,,,,,,
2018-02-01,235442.0,,,,,,,,,
2018-03-01,243135.0,,,,,,,,,
2018-04-01,242184.0,,,,,,,,,
2018-05-01,241312.0,,,,,,,,,
2018-06-01,240396.0,,,,,,,,,
2018-07-01,233263.0,,,,,,,,,
2018-08-01,243656.0,,,,,,,,,
2018-09-01,244691.0,,,,,,,,,
2018-10-01,236072.0,,,,,,,,,
2018-11-01,232640.0,,,,,,,,,
2018-12-01,239442.0,,,,,,,,,
2019-01-01,232853.0,,,,,,,,,
2019-02-01,227669.0,,,,,,,,,
2019-03-01,237072.0,,,,,,,,,
2019-04-01,228770.0,,,,,,,,,
2019-05-01,220441.0,,,,,,,,,
2019-06-01,219395.0,,,,,,,,,
2019-07-01,224705.0,,,,,,,,,
2019-08-01,226911.0,,,,,,,,,
2019-09-01,221398.0,,,,,,,,,
2019-10-01,221854.0,,,,,,,,,
2019-11-01,213862.0,,,,,,,,,
2019-12-01,216524.0,,,,,,,,,
2020-01-01,229093.0,,,,,,,,,
2020-02-01,236175.0,,,,,,,,,
2020-03-01,201235.0,,,,,,,,,
2020-04-01,161041.0,,,,,,,,,
2020-05-01,180205.0,,,,,,,,,
2020-06-01,196254.0,,,,,,,,,
2020-07-01,218792.0,,,,,,,,,
2020-08-01,223081.0,,,,,,,,,
2020-09-01,223838.0,,,,,,,,,
2020-10-01,231044.0,,,,,,,,,
2020-11-01,231610.0,,,,,,,,,
2020-12-01,234080.0,,,,,,,,,
2021-01-01,245054.0,,,,,,,,,
2021-02-01,246694.0,,,,,,,,,
2021-03-01,249140.0,,,,,,,,,
2021-04-01,247400.0,,,,,,,,,
2021-05-01,248259.0,,,,,,,,,
2021-06-01,249305.0,,,,,,,,,
2021-07-01,253770.0,,,,,,,,,
2021-08-01,260230.0,,,,,,,,,
2021-09-01,251271.0,,,,,,,,,
2021-10-01,257877.0,,,,,,,,,
2021-11-01,263631.0,,,,,,,,,
2021-12-01,266894.0,,,,,,,,,
2022-01-01,274707.0,,,,,,,,,
2022-02-01,271418.0,,,,,,,,,
2022-03-01,271005.0,,,,,,,,,
2022-04-01,272987.0,,,,,,,,,
2022-05-01,271508.0,,,,,,,,,
2022-06-01,272166.0,,,,,,,,,
2022-07-01,276260.0,,,,,,,,,
2022-08-01,276622.0,,,,,,,,,
2022-09-01,271946.0,,,,,,,,,
2022-10-01,279629.0,,,,,,,,,
2022-11-01,273100.0,,,,,,,,,
2022-12-01,278589.0,,,,,,,,,
2023-01-01,280844.0,,,,,,,,,
2023-02-01,274314.0,,,,,,,,,
2023-03-01,280718.0,,,,,,,,,
2023-04-01,286759.0,,,,,,,,,
2023-05-01,287293.0,,,,,,,,,
2023-06-01,294857.0,,,,,,,,,
2023-07-01,285827.0,,,,,,,,,
2023-08-01,285317.0,,,,,,,,,
2023-09-01,290883.0,,,,,,,,,
2023-10-01,279021.0,,,,,,,,,
2023-11-01,300639.0,,,,,,,,,
2023-12-01,287397.0,,,,,,,,,
2024-01-01,276538.0,,,,,,,,,
2024-02-01,279865.0,,,,,,,,,
2024-03-01,282096.0,,,,,,,,,
2024-04-01,282737.0,,,,,,,,,
2024-05-01,282987.0,,,,,,,,,
2024-06-01,263541.0,,,,,,,,,
2024-07-01,289419.0,,,,,,,,,
2024-08-01,286955.0,,,,,,,,,
2024-09-01,284843.0,,,,,,,,,
2000-01-01,,139613.0,,,,,,,,
2000-02-01,,132425.0,,,,,,,,
2000-03-01,,139841.0,,,,,,,,
2000-04-01,,141338.0,,,,,,,,
2000-05-01,,137890.0,,,,,,,,
2000-06-01,,143496.0,,,,,,,,
2000-07-01,,137968.0,,,,,,,,
2000-08-01,,138633.0,,,,,,,,
2000-09-01,,141463.0,,,,,,,,
2000-10-01,,137264.0,,,,,,,,
2000-11-01,,136045.0,,,,,,,,
2000-12-01,,135323.0,,,,,,,,
2001-01-01,,131646.0,,,,,,,,
2001-02-01,,131335.0,,,,,,,,
2001-03-01,,125568.0,,,,,,,,
