DATE,PERMIT,HOUST,COMPUTSA
2000-01-01,1727.0,,
2000-02-01,1692.0,,
2000-03-01,1651.0,,
2000-04-01,1597.0,,
2000-05-01,1543.0,,
2000-06-01,1572.0,,
2000-07-01,1542.0,,
2000-08-01,1552.0,,
2000-09-01,1570.0,,
2000-10-01,1577.0,,
2000-11-01,1614.0,,
2000-12-01,1543.0,,
2001-01-01,1699.0,,
2001-02-01,1656.0,,
2001-03-01,1659.0,,
2001-04-01,1666.0,,
2001-05-01,1665.0,,
2001-06-01,1626.0,,
2001-07-01,1598.0,,
2001-08-01,1615.0,,
2001-09-01,1565.0,,
2001-10-01,1566.0,,
2001-11-01,1651.0,,
2001-12-01,1680.0,,
2002-01-01,1665.0,,
2002-02-01,1787.0,,
2002-03-01,1691.0,,
2002-04-01,1669.0,,
2002-05-01,1716.0,,
2002-06-01,1758.0,,
2002-07-01,1738.0,,
2002-08-01,1695.0,,
2002-09-01,1803.0,,
2002-10-01,1799.0,,
2002-11-01,1771.0,,
2002-12-01,1896.0,,
2003-01-01,1808.0,,
2003-02-01,1854.0,,
2003-03-01,1757.0,,
2003-04-01,1803.0,,
2003-05-01,1835.0,,
2003-06-01,1875.0,,
2003-07-01,1885.0,,
2003-08-01,1966.0,,
2003-09-01,1961.0,,
2003-10-01,2012.0,,
2003-11-01,1918.0,,
2003-12-01,1987.0,,
2004-01-01,1952.0,,
2004-02-01,1966.0,,
2004-03-01,2066.0,,
2004-04-01,2070.0,,
2004-05-01,2150.0,,
2004-06-01,2020.0,,
2004-07-01,2112.0,,
2004-08-01,2056.0,,
2004-09-01,2041.0,,
2004-10-01,2097.0,,
2004-11-01,2079.0,,
2004-12-01,2082.0,,
2005-01-01,2139.0,,
2005-02-01,2114.0,,
2005-03-01,2062.0,,
2005-04-01,2150.0,,
2005-05-01,2085.0,,
2005-06-01,2178.0,,
2005-07-01,2203.0,,
2005-08-01,2219.0,,
2005-09-01,2263.0,,
2005-10-01,2170.0,,
2005-11-01,2218.0,,
2005-12-01,2120.0,,
2006-01-01,2212.0,,
2006-02-01,2141.0,,
2006-03-01,2118.0,,
2006-04-01,1998.0,,
2006-05-01,1905.0,,
2006-06-01,1867.0,,
2006-07-01,1763.0,,
2006-08-01,1722.0,,
2006-09-01,1655.0,,
2006-10-01,1570.0,,
2006-11-01,1535.0,,
2006-12-01,1638.0,,
2007-01-01,1626.0,,
2007-02-01,1598.0,,
2007-03-01,1596.0,,
2007-04-01,1470.0,,
2007-05-01,1493.0,,
2007-06-01,1407.0,,
2007-07-01,1361.0,,
2007-08-01,1321.0,,
2007-09-01,1261.0,,
2007-10-01,1192.0,,
2007-11-01,1224.0,,
2007-12-01,1149.0,,
2008-01-01,1094.0,,
2008-02-01,1014.0,,
2008-03-01,967.0,,
2008-04-01,1008.0,,
2008-05-01,995.0,,
2008-06-01,1180.0,,
2008-07-01,921.0,,
2008-08-01,858.0,,
2008-09-01,797.0,,
2008-10-01,736.0,,
2008-11-01,626.0,,
2008-12-01,554.0,,
2009-01-01,545.0,,
2009-02-01,558.0,,
2009-03-01,513.0,,
2009-04-01,521.0,,
2009-05-01,556.0,,
2009-06-01,601.0,,
2009-07-01,595.0,,
2009-08-01,616.0,,
2009-09-01,609.0,,
2009-10-01,583.0,,
2009-11-01,623.0,,
2009-12-01,664.0,,
2010-01-01,636.0,,
2010-02-01,650.0,,
2010-03-01,687.0,,
2010-04-01,637.0,,
2010-05-01,575.0,,
2010-06-01,587.0,,
2010-07-01,579.0,,
2010-08-01,580.0,,
2010-09-01,563.0,,
2010-10-01,558.0,,
2010-11-01,560.0,,
2010-12-01,632.0,,
2011-01-01,576.0,,
2011-02-01,542.0,,
2011-03-01,583.0,,
2011-04-01,581.0,,
2011-05-01,618.0,,
2011-06-01,636.0,,
2011-07-01,621.0,,
2011-08-01,647.0,,
2011-09-01,610.0,,
2011-10-01,671.0,,
2011-11-01,706.0,,
2011-12-01,697.0,,
2012-01-01,712.0,,
2012-02-01,738.0,,
2012-03-01,806.0,,
2012-04-01,732.0,,
2012-05-01,796.0,,
2012-06-01,794.0,,
2012-07-01,849.0,,
2012-08-01,840.0,,
2012-09-01,930.0,,
2012-10-01,887.0,,
2012-11-01,917.0,,
2012-12-01,941.0,,
2013-01-01,940.0,,
2013-02-01,980.0,,
2013-03-01,936.0,,
2013-04-01,1012.0,,
2013-05-01,1003.0,,
2013-06-01,942.0,,
2013-07-01,997.0,,
2013-08-01,964.0,,
2013-09-01,1004.0,,
2013-10-01,1044.0,,
2013-11-01,1029.0,,
2013-12-01,1005.0,,
2014-01-01,976.0,,
2014-02-01,1039.0,,
2014-03-01,1067.0,,
2014-04-01,1090.0,,
2014-05-01,1018.0,,
2014-06-01,1010.0,,
2014-07-01,1076.0,,
2014-08-01,1047.0,,
2014-09-01,1077.0,,
2014-10-01,1094.0,,
2014-11-01,1059.0,,
2014-12-01,1072.0,,
2015-01-01,1049.0,,
2015-02-01,1127.0,,
2015-03-01,1072.0,,
2015-04-01,1166.0,,
2015-05-01,1272.0,,
2015-06-01,1379.0,,
2015-07-01,1140.0,,
2015-08-01,1165.0,,
2015-09-01,1144.0,,
2015-10-01,1160.0,,
2015-11-01,1244.0,,
2015-12-01,1211.0,,
2016-01-01,1171.0,,
2016-02-01,1172.0,,
2016-03-01,1118.0,,
2016-04-01,1160.0,,
2016-05-01,1205.0,,
2016-06-01,1208.0,,
2016-07-01,1198.0,,
2016-08-01,1201.0,,
2016-09-01,1303.0,,
2016-10-01,1254.0,,
2016-11-01,1230.0,,
2016-12-01,1248.0,,
2017-01-01,1303.0,,
2017-02-01,1234.0,,
2017-03-01,1272.0,,
2017-04-01,1251.0,,
2017-05-01,1208.0,,
2017-06-01,1353.0,,
2017-07-01,1256.0,,
2017-08-01,1319.0,,
2017-09-01,1273.0,,
2017-10-01,1356.0,,
2017-11-01,1299.0,,
2017-12-01,1311.0,,
2018-01-01,1317.0,,
2018-02-01,1321.0,,
2018-03-01,1385.0,,
2018-04-01,1378.0,,
2018-05-01,1338.0,,
2018-06-01,1345.0,,
2018-07-01,1334.0,,
2018-08-01,1273.0,,
2018-09-01,1314.0,,
